 N, GB, t1, t2
110,  0.000100,  0.000016,  0.000006
110,  0.000100,  0.000013,  0.000007
110,  0.000100,  0.000013,  0.000006
110,  0.000100,  0.000017,  0.000010
110,  0.000100,  0.000020,  0.000010
110,  0.000100,  0.000016,  0.000008
110,  0.000100,  0.000018,  0.000012
110,  0.000100,  0.000018,  0.000009
110,  0.000100,  0.000018,  0.000010
110,  0.000100,  0.000018,  0.000012
315,  0.000800,  0.000120,  0.000068
315,  0.000800,  0.000134,  0.000060
315,  0.000800,  0.000384,  0.000069
315,  0.000800,  0.000227,  0.000187
315,  0.000800,  0.000456,  0.000144
315,  0.000800,  0.000533,  0.000102
315,  0.000800,  0.000315,  0.000135
315,  0.000800,  0.000151,  0.000078
315,  0.000800,  0.000167,  0.000050
315,  0.000800,  0.000513,  0.000142
